time_s,sedov_xi,sample_radius_cm,frame_x1_cm,frame_x2_cm,frame_x3_cm,frame_v1_cm_s,frame_v2_cm_s,frame_v3_cm_s,shock_radius_cm,shock_speed_cm_s,rho_g_cm3,pressure_dyn_cm2,vx_cm_s,vy_cm_s,vz_cm_s,mass_flux_g_cm2_s,momentum_flux_dyn_cm2,sample_is_shocked,inner_x1_shocked_fraction
12968876712328.766,0.4178318273361008,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.213184682316681e+20,5987817.782665141,2.2609931876184054e-26,6.89180559783284e-12,1502620.918369608,0.0,0.0,3.397415660006596e-20,6.942855876224064e-12,1.0,1.0
13586442270058.707,0.41104808270462784,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.2497100435550467e+20,5842587.679738404,2.0997586476368372e-26,6.5591590566823595e-12,1442228.290640891,0.0,0.0,3.0283313251397046e-20,6.602834507787865e-12,1.0,1.0
14204007827788.648,0.4046348134239854,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.285366877406281e+20,5706386.272646558,1.9557625612202644e-26,6.254939783022852e-12,1386510.5278870785,0.0,0.0,2.7116853811792936e-20,6.2925375863160775e-12,1.0,1.0
14821573385518.59,0.39855863508156064,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.3202081667491886e+20,5578335.526030387,1.826590529609149e-26,5.975729714211512e-12,1334944.086551291,0.0,0.0,2.4383962260523242e-20,6.008280940437887e-12,1.0,1.0
15439138943248.531,0.39279027113322146,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.3542818343660192e+20,5457671.37679349,1.7102410113749816e-26,5.7186332543072976e-12,1287080.9307291587,0.0,0.0,2.201218592691689e-20,5.746964719057497e-12,1.0,1.0
16056704500978.473,0.3873039215827532,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.387631388460038e+20,5343725.487765713,1.6050427719248795e-26,5.481181402315647e-12,1242535.367809278,0.0,0.0,1.9943224109633032e-20,5.505961563620013e-12,1.0,1.0
16674270058708.414,0.38207674672509606,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.4202964665368543e+20,5235910.438061358,1.5095910800430708e-26,5.2612562365962914e-12,1200973.5506207782,0.0,0.0,1.8129789593847822e-20,5.283029634376823e-12,1.0,1.0
17291835616438.355,0.37708844190861696,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.452313296488537e+20,5133707.612039919,1.4226979158933412e-26,5.057030880688876e-12,1162105.0353798345,0.0,0.0,1.653324411884048e-20,5.076244246930545e-12,1.0,1.0
17909401174168.297,0.37232088489793885,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.483715089735397e+20,5036657.225566754,1.3433527648021e-26,4.866921367861867e-12,1125675.939797191,0.0,0.0,1.5121798859977586e-20,4.883943613004996e-12,1.0,1.0
18526966731898.24,0.3677578415964626,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.5145323782364224e+20,4944350.058606781,1.2706914890754617e-26,4.689547740130242e-12,1091463.3577693598,0.0,0.0,1.3869131993552512e-20,4.704685389505271e-12,1.0,1.0
